측정소명,측정소 주소,경도,위도
덕적도,인천 옹진군 덕적면 진리 산 35-4번지,,
석모리,인천 강화군 삼산면 석모리 347-4(해병 1935부대),,
남동,인천광역시 남동구 남동대로 668 (구월동),,
부평역,인천 부평구 광장로 지하15(부평동) 부평역 7번 출구,,
서해,인천광역시 중구 서해대로 365-1 (항동7가),,
석바위,인천 미추홀구 주안6동 1587(석바위 삼거리),,
송현,인천 동구 수문통로 77 송현도로변측정소,,
백령도,인천 옹진군 백령면 연화리 산241-2,,
검단,인천 서구 검단로502번길 15(마전동) 검단출장소 옥상,,
계산,인천 계양구 계양산로134번길 18(계산동) 계양도서관 옥상,,
고잔,인천 남동구 은봉로 82 인천지방중소벤처기업청옥상,,
구월동,인천 남동구 구월말로 7(구월동) 구월4동 행정복지센터 옥상,,
길상,인천 강화군 길상면 강화동로 15-1 길상면보건지소 2층,,
논현,인천 남동구 청능대로611번길 54(논현동) 근린공원,,
동춘,인천 연수구 원인재로 115(동춘동) 연수구의회 옥상,,
부평,인천 부평구 부평대로88번길 19(부평동) 인천부평동초등학교 옥상,,
삼산,인천 부평구 충선로 262 시냇물공원 (삼산동),,
석남,인천 서구 거북로 116(석남동) 석남2동 행정복지센터 옥상,,
송도,인천 연수구 갯벌로 12 테크노파크 3층 옥상,,
송림,인천 동구 금곡로 67(송림동) 동구의회 옥상,,
송해,인천 강화군 송해면 전망대로 29(솔정리) 송해면사무소 옥상,,
숭의,인천 미추홀구 독정안길 26 용정초등학교,,
신흥,인천 중구 서해대로 471(신흥동 2가) 인천보건환경연구원 옥상,,
연희,인천 서구 심곡로 98(심곡동) 인천광역시 인재개발원 옥상,,
영흥,인천광역시 옹진군 영흥면 영흥로251번길 90 영흥 면사무소 2층 옥상 (영흥면사무소),,
운서,인천 중구 영종대로 85(운서동) 영종도서관 옥상,,
원당,인천 서구 고산후로121번길 7(원당동) 검단선사박물관 옥상,,
청라,인천 서구 크리스탈로 131 수질정화시설관리동 2층 옥상,,
